index,x,r,g,b,hex
0,0.00000000,0.17103828,0.33364370,0.42381784,#2c556c
1,0.00390625,0.17125249,0.33808559,0.42981026,#2c566e
2,0.00781250,0.17143772,0.34253906,0.43581972,#2c576f
3,0.01171875,0.17159363,0.34700412,0.44184614,#2c5871
4,0.01562500,0.17171984,0.35148074,0.44788950,#2c5a72
5,0.01953125,0.17181595,0.35596894,0.45394972,#2c5b74
6,0.02343750,0.17188157,0.36046870,0.46002677,#2c5c75
7,0.02734375,0.17191628,0.36498004,0.46612059,#2c5d77
8,0.03125000,0.17191965,0.36950293,0.47223115,#2c5e78
9,0.03515625,0.17189123,0.37403740,0.47835839,#2c5f7a
10,0.03906250,0.17183054,0.37858342,0.48450229,#2c617c
11,0.04296875,0.17173711,0.38314102,0.49066278,#2c627d
12,0.04687500,0.17161042,0.38771018,0.49683985,#2c637f
13,0.05078125,0.17144995,0.39229092,0.50303344,#2c6480
14,0.05468750,0.17125515,0.39688323,0.50924353,#2c6582
15,0.05859375,0.17102544,0.40148712,0.51547008,#2c6683
16,0.06250000,0.17076023,0.40610259,0.52171306,#2c6885
17,0.06640625,0.17045891,0.41072966,0.52797244,#2b6987
18,0.07031250,0.17012080,0.41536833,0.53424819,#2b6a88
19,0.07421875,0.16974525,0.42001860,0.54054029,#2b6b8a
20,0.07812500,0.16933154,0.42468050,0.54684870,#2b6c8b
21,0.08203125,0.16887893,0.42935402,0.55317341,#2b6d8d
22,0.08593750,0.16838664,0.43403918,0.55951440,#2b6f8f
23,0.08984375,0.16785387,0.43873599,0.56587164,#2b7090
24,0.09375000,0.16727975,0.44344446,0.57224511,#2b7192
25,0.09765625,0.16666340,0.44816462,0.57863481,#2a7294
26,0.10156250,0.16600388,0.45289647,0.58504071,#2a7395
27,0.10546875,0.16530020,0.45764003,0.59146281,#2a7597
28,0.10937500,0.16455132,0.46239533,0.59790108,#2a7698
29,0.11328125,0.16375615,0.46716237,0.60435553,#2a779a
30,0.11718750,0.16291354,0.47194119,0.61082613,#2a789c
31,0.12109375,0.16202228,0.47673180,0.61731290,#297a9d
32,0.12500000,0.16108108,0.48153422,0.62381582,#297b9f
33,0.12890625,0.16008858,0.48634849,0.63033490,#297ca1
34,0.13281250,0.15904335,0.49117462,0.63687012,#297da2
35,0.13671875,0.15794386,0.49601264,0.64342150,#287ea4
36,0.14062500,0.15678848,0.50086259,0.64998904,#2880a6
37,0.14453125,0.15557551,0.50572449,0.65657273,#2881a7
38,0.14843750,0.15430309,0.51059837,0.66317260,#2782a9
39,0.15234375,0.15296926,0.51548428,0.66978865,#2783ab
40,0.15625000,0.15157195,0.52038223,0.67642089,#2785ac
41,0.16015625,0.15010889,0.52529227,0.68306933,#2686ae
42,0.16406250,0.14857769,0.53021444,0.68973400,#2687b0
43,0.16796875,0.14697576,0.53514878,0.69641491,#2588b2
44,0.17187500,0.14530030,0.54009533,0.70311207,#258ab3
45,0.17578125,0.14354830,0.54505413,0.70982552,#258bb5
46,0.17968750,0.14171649,0.55002523,0.71655527,#248cb7
47,0.18359375,0.14741720,0.55468694,0.72171036,#268db8
48,0.18750000,0.15365892,0.55933149,0.72673806,#278fb9
