index,x,r,g,b,hex
0,0.00000000,0.10073138,0.12852729,0.13072286,#1a2121
1,0.00392157,0.10176877,0.13132246,0.13477386,#1a2122
2,0.00784314,0.10279745,0.13412314,0.13883665,#1a2223
3,0.01176471,0.10381746,0.13692934,0.14291127,#1a2324
4,0.01568627,0.10482881,0.13974107,0.14699773,#1b2425
5,0.01960784,0.10583152,0.14255830,0.15109603,#1b2427
6,0.02352941,0.10682561,0.14538105,0.15520618,#1b2528
7,0.02745098,0.10781109,0.14820930,0.15932817,#1b2629
8,0.03137255,0.10878798,0.15104305,0.16346199,#1c272a
9,0.03529412,0.10975630,0.15388229,0.16760761,#1c272b
10,0.03921569,0.11071604,0.15672702,0.17176501,#1c282c
11,0.04313725,0.11166723,0.15957721,0.17593417,#1c292d
12,0.04705882,0.11260987,0.16243287,0.18011504,#1d292e
13,0.05098039,0.11354398,0.16529397,0.18430760,#1d2a2f
14,0.05490196,0.11446955,0.16816052,0.18851179,#1d2b30
15,0.05882353,0.11538660,0.17103249,0.19272759,#1d2c31
16,0.06274510,0.11629513,0.17390987,0.19695493,#1e2c32
17,0.06666667,0.11719514,0.17679266,0.20119379,#1e2d33
18,0.07058824,0.11808664,0.17968082,0.20544410,#1e2e34
19,0.07450980,0.11896963,0.18257436,0.20970582,#1e2f35
20,0.07843137,0.11984411,0.18547325,0.21397889,#1f2f37
21,0.08235294,0.12071008,0.18837748,0.21826326,#1f3038
22,0.08627451,0.12156754,0.19128704,0.22255888,#1f3139
23,0.09019608,0.12241649,0.19420190,0.22686569,#1f323a
24,0.09411765,0.12325692,0.19712205,0.23118364,#1f323b
25,0.09803922,0.12408883,0.20004748,0.23551267,#20333c
26,0.10196078,0.12491222,0.20297816,0.23985271,#20343d
27,0.10588235,0.12572708,0.20591409,0.24420373,#20353e
28,0.10980392,0.12653340,0.20885524,0.24856565,#20353f
29,0.11372549,0.12733118,0.21180159,0.25293842,#203640
30,0.11764706,0.12812040,0.21475313,0.25732198,#213742
31,0.12156863,0.12890107,0.21770984,0.26171627,#213843
32,0.12549020,0.12967316,0.22067171,0.26612124,#213844
33,0.12941176,0.13043666,0.22363871,0.27053683,#213945
34,0.13333333,0.13119158,0.22661082,0.27496297,#213a46
35,0.13725490,0.13193788,0.22958804,0.27939962,#223b47
36,0.14117647,0.13267556,0.23257033,0.28384671,#223b48
37,0.14509804,0.13340461,0.23555769,0.28830419,#223c4a
38,0.14901961,0.13412500,0.23855009,0.29277200,#223d4b
39,0.15294118,0.13483672,0.24154752,0.29725007,#223e4c
40,0.15686275,0.13553976,0.24454995,0.30173837,#233e4d
41,0.16078431,0.13623409,0.24755738,0.30623682,#233f4e
42,0.16470588,0.13691970,0.25056978,0.31074538,#23404f
43,0.16862745,0.13759656,0.25358713,0.31526399,#234150
44,0.17254902,0.13826467,0.25660941,0.31979258,#234152
45,0.17647059,0.13892398,0.25963662,0.32433112,#234253
46,0.18039216,0.13957449,0.26266872,0.32887954,#244354
47,0.18431373,0.14021616,0.26570570,0.33343779,#244455
48,0.18823529,0.14084897,0.26874754,0.33800581,#244556
49,0.19215686,0.14147291,0.27179423,0.34258356,#244557
50,0.19607843,0.14208793,0.27484575,0.34717098,#244659
51,0.20000000,0.14269402,0.27790208,0.35176802,#24475a
52,0.20392157,0.14329115,0.28096319,0.35637462,#25485b
53,0.20784314,0.14387928,0.28402909,0.36099074,#25485c
54,0.21176471,0.14445839,0.28709973,0.36561632,#25495d
55,0.21568627,0.14502845,0.29017512,0.37025131,#254a5e
56,0.21960784,0.14558942,0.29325522,0.37489567,#254b60
57,0.22352941,0.14692072,0.29674798,0.37666936,#254c60
58,0.22745098,0.14834458,0.30028845,0.37811938,#264d60
59,0.23137255,0.14977511,0.30383126,0.37956505,#264d61
60,0.23529412,0.15121225,0.30737648,0.38100637,#274e61
61,0.23921569,0.15265595,0.31092416,0.38244333,#274f62
62,0.24313725,0.15410613,0.31447438,0.38387595,#275062
63,0.24705882,0.15556273,0.31802717,0.38530422,#285162
64,0.25098039,0.15702569,0.32158260,0.38672814,#285263
65,0.25490196,0.15849496,0.32514073,0.38814772,#285363
66,0.25882353,0.15997046,0.32870159,0.38956296,#295463
67,0.26274510,0.16145215,0.33226523,0.39097386,#295564
68,0.26666667,0.16293995,0.33583171,0.39238041,#2a5664
69,0.27058824,0.16443382,0.33940105,0.39378263,#2a5764
70,0.27450980,0.16593370,0.34297331,0.39518051,#2a5765
71,0.27843137,0.16743952,0.34654852,0.39657405,#2b5865
72,0.28235294,0.16895124,0.35012671,0.39796326,#2b5965
73,0.28627451,0.17046879,0.35370791,0.39934814,#2b5a66
74,0.29019608,0.17199212,0.35729217,0.40072868,#2c5b66
75,0.29411765,0.17352119,0.36087952,0.40210489,#2c5c67
76,0.29803922,0.17505593,0.36446997,0.40347677,#2d5d67
77,0.30196078,0.17659629,0.36806357,0.40484432,#2d5e67
78,0.30588235,0.17814222,0.37166033,0.40620755,#2d5f68
79,0.30980392,0.17969367,0.37526028,0.40756644,#2e6068
80,0.31372549,0.18125060,0.37886345,0.40892101,#2e6168
81,0.31764706,0.18281294,0.38246985,0.41027125,#2f6269
82,0.32156863,0.18438065,0.38607952,0.41161717,#2f6269
83,0.32549020,0.18595368,0.38969246,0.41295876,#2f6369
84,0.32941176,0.18753198,0.39330870,0.41429603,#30646a
85,0.33333333,0.18911552,0.39692826,0.41562897,#30656a
86,0.33725490,0.19070423,0.40055115,0.41695760,#31666a
87,0.34117647,0.19229807,0.40417739,0.41828190,#31676b
88,0.34509804,0.19389701,0.40780700,0.41960187,#31686b
89,0.34901961,0.19550098,0.41143999,0.42091753,#32696b
90,0.35294118,0.19710996,0.41507637,0.42222887,#326a6c
91,0.35686275,0.19872389,0.41871616,0.42353588,#336b6c
92,0.36078431,0.20034274,0.42235936,0.42483858,#336c6c
93,0.36470588,0.20196646,0.42600600,0.42613695,#346d6d
94,0.36862745,0.20359500,0.42965607,0.42743101,#346e6d
95,0.37254902,0.20522834,0.43330960,0.42872074,#346e6d
96,0.37647059,0.20686642,0.43696658,0.43000616,#356f6e
97,0.38039216,0.20850921,0.44062704,0.43128725,#35706e
98,0.38431373,0.21015667,0.44429097,0.43256403,#36716e
99,0.38823529,0.21180875,0.44795838,0.43383648,#36726f
100,0.39215686,0.21346543,0.45162929,0.43510462,#36736f
101,0.39607843,0.21512666,0.45530369,0.43636843,#37746f
102,0.40000000,0.21679240,0.45898160,0.43762793,#377570
103,0.40392157,0.21846263,0.46266301,0.43888310,#387670
104,0.40784314,0.22013729,0.46634794,0.44013395,#387770
105,0.41176471,0.22181637,0.47003639,0.44138048,#397871
106,0.41568627,0.22349981,0.47372836,0.44262269,#397971
107,0.41960784,0.22518759,0.47742385,0.44386058,#397a71
108,0.42352941,0.22687967,0.48112288,0.44509414,#3a7b71
109,0.42745098,0.22857602,0.48482544,0.44632338,#3a7c72
110,0.43137255,0.23027661,0.48853153,0.44754829,#3b7d72
111,0.43529412,0.23198140,0.49224117,0.44876888,#3b7e72
112,0.43921569,0.23369035,0.49595434,0.44998514,#3c7e73
113,0.44313725,0.23540345,0.49967105,0.45119708,#3c7f73
114,0.44705882,0.23712065,0.50339131,0.45240468,#3c8073
115,0.45098039,0.23884192,0.50711511,0.45360796,#3d8174
116,0.45490196,0.24056724,0.51084245,0.45480691,#3d8274
117,0.45882353,0.24229657,0.51457334,0.45600153,#3e8374
118,0.46274510,0.24402988,0.51830777,0.45719182,#3e8475
119,0.46666667,0.24576715,0.52204575,0.45837777,#3f8575
120,0.47058824,0.24750835,0.52578727,0.45955939,#3f8675
121,0.47450980,0.24925344,0.52953234,0.46073667,#408775
122,0.47843137,0.25100240,0.53328095,0.46190962,#408876
123,0.48235294,0.25344730,0.53678545,0.46423636,#418976
124,0.48627451,0.25635421,0.54012849,0.46733727,#418a77
125,0.49019608,0.25926099,0.54347518,0.47044186,#428b78
126,0.49411765,0.26216772,0.54682550,0.47355012,#438b79
127,0.49803922,0.26507449,0.55017945,0.47666205,#448c7a
128,0.50196078,0.26798139,0.55353701,0.47977761,#448d7a
129,0.50588235,0.27088849,0.55689817,0.48289681,#458e7b
130,0.50980392,0.27379588,0.56026293,0.48601963,#468f7c
131,0.51372549,0.27670363,0.56363126,0.48914605,#47907d
132,0.51764706,0.27961180,0.56700316,0.49227607,#47917e
133,0.52156863,0.28252047,0.57037862,0.49540967,#48917e
134,0.52549020,0.28542970,0.57375762,0.49854685,#49927f
135,0.52941176,0.28833955,0.57714016,0.50168757,#4a9380
136,0.53333333,0.29125009,0.58052622,0.50483185,#4a9481
137,0.53725490,0.29416136,0.58391580,0.50797966,#4b9582
138,0.54117647,0.29707343,0.58730888,0.51113099,#4c9682
139,0.54509804,0.29998635,0.59070545,0.51428583,#4c9783
140,0.54901961,0.30290017,0.59410551,0.51744417,#4d9784
141,0.55294118,0.30581493,0.59750904,0.52060599,#4e9885
142,0.55686275,0.30873069,0.60091602,0.52377129,#4f9986
143,0.56078431,0.31164749,0.60432646,0.52694006,#4f9a86
144,0.56470588,0.31456538,0.60774035,0.53011227,#509b87
145,0.56862745,0.31748439,0.61115766,0.53328793,#519c88
146,0.57254902,0.32040458,0.61457839,0.53646702,#529d89
147,0.57647059,0.32332596,0.61800253,0.53964953,#529e8a
148,0.58039216,0.32624859,0.62143008,0.54283545,#539e8a
149,0.58431373,0.32917250,0.62486101,0.54602476,#549f8b
150,0.58823529,0.33209773,0.62829533,0.54921746,#55a08c
151,0.59215686,0.33502430,0.63173302,0.55241354,#55a18d
152,0.59607843,0.33795225,0.63517407,0.55561298,#56a28e
153,0.60000000,0.34088161,0.63861847,0.55881577,#57a38e
154,0.60392157,0.34381242,0.64206621,0.56202191,#58a48f
155,0.60784314,0.34674469,0.64551729,0.56523138,#58a590
156,0.61176471,0.34967846,0.64897169,0.56844418,#59a591
157,0.61568627,0.35261375,0.65242941,0.57166029,#5aa692
158,0.61960784,0.35555059,0.65589043,0.57487970,#5ba793
159,0.62352941,0.35848901,0.65935475,0.57810241,#5ba893
160,0.62745098,0.36142902,0.66282235,0.58132840,#5ca994
161,0.63137255,0.36437066,0.66629323,0.58455766,#5daa95
