index,x,r,g,b,hex
0,0.00000000,0.14670669,0.31818120,0.57220088,#255192
1,0.00390625,0.14529806,0.32159593,0.58254579,#255295
2,0.00781250,0.14382551,0.32500493,0.59292184,#255397
3,0.01171875,0.14228673,0.32840839,0.60332896,#24549a
4,0.01562500,0.14067923,0.33180644,0.61376704,#24559d
5,0.01953125,0.13900030,0.33519926,0.62423601,#23559f
6,0.02343750,0.13724701,0.33858700,0.63473578,#2356a2
7,0.02734375,0.13541619,0.34196982,0.64526626,#2357a5
8,0.03125000,0.13350437,0.34534786,0.65582735,#2258a7
9,0.03515625,0.13150776,0.34872128,0.66641896,#2259aa
10,0.03906250,0.12942223,0.35209022,0.67704100,#215aad
11,0.04296875,0.12724322,0.35545484,0.68769339,#205baf
12,0.04687500,0.12496570,0.35881528,0.69837602,#205bb2
13,0.05078125,0.12258412,0.36217168,0.70908881,#1f5cb5
14,0.05468750,0.12009229,0.36552420,0.71983168,#1f5db8
15,0.05859375,0.11748332,0.36887296,0.73060453,#1e5eba
16,0.06250000,0.11474945,0.37221812,0.74140727,#1d5fbd
17,0.06640625,0.11188195,0.37555982,0.75223981,#1d60c0
18,0.07031250,0.10887089,0.37889819,0.76310208,#1c61c3
19,0.07421875,0.10570493,0.38223338,0.77399399,#1b61c5
20,0.07812500,0.10237102,0.38556552,0.78491545,#1a62c8
21,0.08203125,0.09885399,0.38889476,0.79586638,#1963cb
22,0.08593750,0.09513608,0.39222123,0.80684671,#1864ce
23,0.08984375,0.09119625,0.39554506,0.81785636,#1765d1
24,0.09375000,0.08700924,0.39886640,0.82889525,#1666d3
25,0.09765625,0.08254436,0.40218539,0.83996330,#1567d6
26,0.10156250,0.07776365,0.40550216,0.85106045,#1467d9
27,0.10546875,0.07261920,0.40881684,0.86218663,#1368dc
28,0.10937500,0.06704918,0.41212958,0.87334176,#1169df
29,0.11328125,0.06097135,0.41544052,0.88452579,#106ae2
30,0.11718750,0.05427227,0.41874978,0.89573864,#0e6be4
31,0.12109375,0.04678787,0.42205751,0.90698026,#0c6ce7
32,0.12500000,0.03826323,0.42536385,0.91825058,#0a6cea
33,0.12890625,0.02915379,0.42866894,0.92954956,#076ded
34,0.13281250,0.01986893,0.43197291,0.94087713,#056ef0
35,0.13671875,0.01040751,0.43527590,0.95223325,#036ff3
36,0.14062500,0.00076839,0.43857805,0.96361786,#0070f6
37,0.14453125,0.00000000,0.44256788,0.97236427,#0071f8
38,0.14843750,0.00000000,0.44662685,0.98090304,#0072fa
39,0.15234375,0.00000000,0.45069643,0.98946244,#0073fc
40,0.15625000,0.00000000,0.45477663,0.99804259,#0074ff
41,0.16015625,0.02381437,0.46055496,1.00000000,#0675ff
42,0.16406250,0.05417949,0.46678559,1.00000000,#0e77ff
43,0.16796875,0.07772678,0.47296578,1.00000000,#1479ff
44,0.17187500,0.09723006,0.47909788,1.00000000,#197aff
45,0.17578125,0.11435882,0.48518408,1.00000000,#1d7cff
46,0.17968750,0.12990245,0.49122648,1.00000000,#217dff
47,0.18359375,0.14191474,0.49745968,1.00000000,#247fff
48,0.18750000,0.15322159,0.50366957,1.00000000,#2780ff
49,0.19140625,0.16413829,0.50983764,1.00000000,#2a82ff
50,0.19531250,0.17473155,0.51596569,1.00000000,#2d84ff
51,0.19921875,0.18505292,0.52205542,1.00000000,#2f85ff
52,0.20312500,0.19514315,0.52810841,1.00000000,#3287ff
53,0.20703125,0.20503501,0.53412621,1.00000000,#3488ff
54,0.21093750,0.21475530,0.54011024,1.00000000,#378aff
55,0.21484375,0.22432624,0.54606189,1.00000000,#398bff
56,0.21875000,0.23376647,0.55198247,1.00000000,#3c8dff
57,0.22265625,0.24309179,0.55787322,1.00000000,#3e8eff
58,0.22656250,0.25231572,0.56373533,1.00000000,#4090ff
59,0.23046875,0.26144993,0.56956994,1.00000000,#4391ff
60,0.23437500,0.27050457,0.57537813,1.00000000,#4593ff
61,0.23828125,0.27948854,0.58116095,1.00000000,#4794ff
62,0.24218750,0.28840968,0.58691939,1.00000000,#4a96ff
63,0.24609375,0.29727497,0.59265440,1.00000000,#4c97ff
64,0.25000000,0.30609060,0.59836690,1.00000000,#4e99ff
65,0.25390625,0.31486215,0.60405777,1.00000000,#509aff
66,0.25781250,0.32359466,0.60972785,1.00000000,#539bff
67,0.26171875,0.33229266,0.61537797,1.00000000,#559dff
68,0.26562500,0.34096032,0.62100889,1.00000000,#579eff
69,0.26953125,0.34960141,0.62662139,1.00000000,#59a0ff
70,0.27343750,0.35821943,0.63221619,1.00000000,#5ba1ff
71,0.27734375,0.36681759,0.63779399,1.00000000,#5ea3ff
72,0.28125000,0.37539886,0.64335548,1.00000000,#60a4ff
73,0.28515625,0.38396602,0.64890131,1.00000000,#62a5ff
74,0.28906250,0.39252164,0.65443213,1.00000000,#64a7ff
75,0.29296875,0.40106815,0.65994855,1.00000000,#66a8ff
76,0.29687500,0.40960783,0.66545119,1.00000000,#68aaff
77,0.30078125,0.41814284,0.67094061,1.00000000,#6babff
78,0.30468750,0.42667523,0.67641740,1.00000000,#6dacff
79,0.30859375,0.43520693,0.68188211,1.00000000,#6faeff
80,0.31250000,0.44373981,0.68733527,1.00000000,#71afff
81,0.31640625,0.45227567,0.69277743,1.00000000,#73b1ff
82,0.32031250,0.46081623,0.69820910,1.00000000,#76b2ff
83,0.32421875,0.46936315,0.70363078,1.00000000,#78b3ff
84,0.32812500,0.47791805,0.70904298,1.00000000,#7ab5ff
85,0.33203125,0.48648252,0.71444619,1.00000000,#7cb6ff
86,0.33593750,0.49505810,0.71984089,1.00000000,#7eb8ff
87,0.33984375,0.50364632,0.72522756,1.00000000,#80b9ff
88,0.34375000,0.51224868,0.73060667,1.00000000,#83baff
89,0.34765625,0.52086666,0.73597868,1.00000000,#85bcff
90,0.35156250,0.52950175,0.74134408,1.00000000,#87bdff
