index,x,r,g,b,hex
0,0.00000000,0.14517574,0.11176787,0.06270149,#251d10
1,0.00392157,0.15108149,0.11328243,0.05866148,#271d0f
2,0.00784314,0.15698460,0.11476358,0.05434872,#281d0e
3,0.01176471,0.16288670,0.11621168,0.04971801,#2a1e0d
4,0.01568627,0.16878919,0.11762704,0.04471014,#2b1e0b
5,0.01960784,0.17469334,0.11900996,0.03923513,#2d1e0a
6,0.02352941,0.18060025,0.12036070,0.03347239,#2e1f09
7,0.02745098,0.18651092,0.12167949,0.02762992,#301f07
8,0.03137255,0.19242623,0.12296654,0.02170678,#311f06
9,0.03529412,0.19834696,0.12422202,0.01570205,#332004
10,0.03921569,0.20427381,0.12544610,0.00961480,#342002
11,0.04313725,0.21020741,0.12663889,0.00344407,#362001
12,0.04705882,0.21516363,0.12828961,0.00000000,#372100
13,0.05098039,0.21890371,0.13054605,0.00000000,#382100
14,0.05490196,0.22264027,0.13281669,0.00000000,#392200
15,0.05882353,0.22637483,0.13510053,0.00000000,#3a2200
16,0.06274510,0.23010860,0.13739669,0.00000000,#3b2300
17,0.06666667,0.23384266,0.13970443,0.00000000,#3c2400
18,0.07058824,0.23757788,0.14202310,0.00000000,#3d2400
19,0.07450980,0.24131503,0.14435215,0.00000000,#3e2500
20,0.07843137,0.24505474,0.14669107,0.00000000,#3e2500
21,0.08235294,0.24879758,0.14903943,0.00000000,#3f2600
22,0.08627451,0.25254402,0.15139685,0.00000000,#402700
23,0.09019608,0.25629447,0.15376299,0.00000000,#412700
24,0.09411765,0.26004930,0.15613754,0.00000000,#422800
25,0.09803922,0.26380880,0.15852022,0.00000000,#432800
26,0.10196078,0.26757325,0.16091079,0.00000000,#442900
27,0.10588235,0.27134288,0.16330902,0.00000000,#452a00
28,0.10980392,0.27511790,0.16571470,0.00000000,#462a00
29,0.11372549,0.27889848,0.16812766,0.00000000,#472b00
30,0.11764706,0.28268479,0.17054771,0.00000000,#482b00
31,0.12156863,0.28647694,0.17297470,0.00000000,#492c00
32,0.12549020,0.29027506,0.17540848,0.00000000,#4a2d00
33,0.12941176,0.29407926,0.17784892,0.00000000,#4b2d00
34,0.13333333,0.29788962,0.18029589,0.00000000,#4c2e00
35,0.13725490,0.30170622,0.18274928,0.00000000,#4d2f00
36,0.14117647,0.30552913,0.18520897,0.00000000,#4e2f00
37,0.14509804,0.30935839,0.18767486,0.00000000,#4f3000
38,0.14901961,0.31319407,0.19014687,0.00000000,#503000
39,0.15294118,0.31703620,0.19262489,0.00000000,#513100
40,0.15686275,0.32088482,0.19510885,0.00000000,#523200
41,0.16078431,0.32473996,0.19759865,0.00000000,#533200
42,0.16470588,0.32860164,0.20009424,0.00000000,#543300
43,0.16862745,0.33246987,0.20259552,0.00000000,#553400
44,0.17254902,0.33634469,0.20510244,0.00000000,#563400
45,0.17647059,0.34022608,0.20761493,0.00000000,#573500
46,0.18039216,0.34411408,0.21013293,0.00000000,#583600
47,0.18431373,0.34800867,0.21265637,0.00000000,#593600
48,0.18823529,0.35190986,0.21518520,0.00000000,#5a3700
49,0.19215686,0.35581765,0.21771937,0.00000000,#5b3800
50,0.19607843,0.35973204,0.22025882,0.00000000,#5c3800
51,0.20000000,0.36365302,0.22280350,0.00000000,#5d3900
52,0.20392157,0.36758058,0.22535336,0.00000000,#5e3900
53,0.20784314,0.37151473,0.22790835,0.00000000,#5f3a00
54,0.21176471,0.37545544,0.23046844,0.00000000,#603b00
55,0.21568627,0.37940270,0.23303357,0.00000000,#613b00
56,0.21960784,0.38335651,0.23560370,0.00000000,#623c00
57,0.22352941,0.38731685,0.23817880,0.00000000,#633d00
58,0.22745098,0.39128371,0.24075882,0.00000000,#643d00
59,0.23137255,0.39525707,0.24334372,0.00000000,#653e00
60,0.23529412,0.39923691,0.24593346,0.00000000,#663f00
61,0.23921569,0.40322322,0.24852802,0.00000000,#673f00
62,0.24313725,0.40722331,0.25112240,0.00000000,#684000
63,0.24705882,0.41123222,0.25371990,0.00000000,#694100
64,0.25098039,0.41524816,0.25632170,0.00000000,#6a4100
65,0.25490196,0.41927108,0.25892776,0.00000000,#6b4200
66,0.25882353,0.42330096,0.26153807,0.00000000,#6c4300
67,0.26274510,0.42733775,0.26415261,0.00000000,#6d4300
68,0.26666667,0.43138142,0.26677136,0.00000000,#6e4400
69,0.27058824,0.43543193,0.26939429,0.00000000,#6f4500
70,0.27450980,0.43948926,0.27202139,0.00000000,#704500
71,0.27843137,0.44355335,0.27465264,0.00000000,#714600
72,0.28235294,0.44762419,0.27728802,0.00000000,#724700
73,0.28627451,0.45170174,0.27992751,0.00000000,#734700
74,0.29019608,0.45578597,0.28257109,0.00000000,#744800
75,0.29411765,0.45987683,0.28521874,0.00000000,#754900
76,0.29803922,0.46397431,0.28787045,0.00000000,#764900
77,0.30196078,0.46807836,0.29052619,0.00000000,#774a00
78,0.30588235,0.47218897,0.29318594,0.00000000,#784b00
79,0.30980392,0.47630608,0.29584970,0.00000000,#794b00
80,0.31372549,0.48042968,0.29851743,0.00000000,#7b4c00
81,0.31764706,0.48455974,0.30118913,0.00000000,#7c4d00
82,0.32156863,0.48869622,0.30386477,0.00000000,#7d4d00
83,0.32549020,0.49283909,0.30654434,0.00000000,#7e4e00
84,0.32941176,0.49698833,0.30922782,0.00000000,#7f4f00
85,0.33333333,0.50114390,0.31191520,0.00000000,#805000
86,0.33725490,0.50530578,0.31460645,0.00000000,#815000
87,0.34117647,0.50947394,0.31730156,0.00000000,#825100
88,0.34509804,0.51364835,0.32000052,0.00000000,#835200
89,0.34901961,0.51782897,0.32270331,0.00000000,#845200
90,0.35294118,0.52201579,0.32540990,0.00000000,#855300
91,0.35686275,0.52620878,0.32812030,0.00000000,#865400
92,0.36078431,0.53040791,0.33083447,0.00000000,#875400
93,0.36470588,0.53461314,0.33355241,0.00000000,#885500
94,0.36862745,0.53882447,0.33627409,0.00000000,#895600
95,0.37254902,0.54304185,0.33899951,0.00000000,#8a5600
96,0.37647059,0.54726527,0.34172865,0.00000000,#8c5700
97,0.38039216,0.55149469,0.34446149,0.00000000,#8d5800
98,0.38431373,0.55573009,0.34719802,0.00000000,#8e5900
99,0.38823529,0.55997145,0.34993822,0.00000000,#8f5900
100,0.39215686,0.56421874,0.35268208,0.00000000,#905a00
101,0.39607843,0.56847194,0.35542958,0.00000000,#915b00
102,0.40000000,0.57273102,0.35818072,0.00000000,#925b00
103,0.40392157,0.57699596,0.36093547,0.00000000,#935c00
