index,x,r,g,b,hex
0,0.00000000,0.12231190,0.11416022,0.16779932,#1f1d2b
1,0.00392157,0.12630865,0.11603077,0.17069220,#201e2c
2,0.00784314,0.13030813,0.11790147,0.17359244,#211e2c
3,0.01176471,0.13431084,0.11977236,0.17649998,#221f2d
4,0.01568627,0.13831724,0.12164346,0.17941476,#231f2e
5,0.01960784,0.14232773,0.12351479,0.18233673,#241f2e
6,0.02352941,0.14634269,0.12538638,0.18526585,#25202f
7,0.02745098,0.15036245,0.12725825,0.18820205,#262030
8,0.03137255,0.15438731,0.12913042,0.19114529,#272131
9,0.03529412,0.15841756,0.13100291,0.19409551,#282131
10,0.03921569,0.16245344,0.13287575,0.19705268,#292232
11,0.04313725,0.16649517,0.13474895,0.20001673,#2a2233
12,0.04705882,0.17054296,0.13662253,0.20298763,#2b2334
13,0.05098039,0.17459700,0.13849651,0.20596533,#2d2335
14,0.05490196,0.17865745,0.14037092,0.20894978,#2e2435
15,0.05882353,0.18272446,0.14224576,0.21194093,#2f2436
16,0.06274510,0.18679818,0.14412105,0.21493875,#302537
17,0.06666667,0.19087873,0.14599682,0.21794318,#312538
18,0.07058824,0.19496621,0.14787307,0.22095419,#322638
19,0.07450980,0.19906074,0.14974983,0.22397173,#332639
20,0.07843137,0.20316241,0.15162710,0.22699576,#34273a
21,0.08235294,0.20727129,0.15350491,0.23002624,#35273b
22,0.08627451,0.21138746,0.15538326,0.23306313,#36283b
23,0.09019608,0.21551099,0.15726218,0.23610638,#37283c
24,0.09411765,0.21964194,0.15914167,0.23915597,#38293d
25,0.09803922,0.22378035,0.16102176,0.24221184,#39293e
26,0.10196078,0.22792628,0.16290244,0.24527397,#3a2a3f
27,0.10588235,0.23207978,0.16478373,0.24834231,#3b2a3f
28,0.10980392,0.23624086,0.16666566,0.25141683,#3c2a40
29,0.11372549,0.24040957,0.16854822,0.25449749,#3d2b41
30,0.11764706,0.24458594,0.17043142,0.25758425,#3e2b42
31,0.12156863,0.24876998,0.17231529,0.26067708,#3f2c42
32,0.12549020,0.25296172,0.17419983,0.26377594,#412c43
33,0.12941176,0.25716116,0.17608506,0.26688080,#422d44
34,0.13333333,0.26136834,0.17797097,0.26999162,#432d45
35,0.13725490,0.26558325,0.17985759,0.27310837,#442e46
36,0.14117647,0.26980590,0.18174491,0.27623102,#452e46
37,0.14509804,0.27403629,0.18363296,0.27935953,#462f47
38,0.14901961,0.27827444,0.18552174,0.28249387,#472f48
39,0.15294118,0.28252034,0.18741126,0.28563401,#483049
40,0.15686275,0.28677398,0.18930152,0.28877991,#49304a
41,0.16078431,0.29103537,0.19119255,0.29193155,#4a314a
42,0.16470588,0.29530450,0.19308433,0.29508890,#4b314b
43,0.16862745,0.29958136,0.19497689,0.29825191,#4c324c
44,0.17254902,0.30386595,0.19687023,0.30142057,#4d324d
45,0.17647059,0.30815825,0.19876436,0.30459485,#4f334e
46,0.18039216,0.31245825,0.20065928,0.30777471,#50334e
47,0.18431373,0.31676595,0.20255500,0.31096012,#51344f
48,0.18823529,0.32108132,0.20445154,0.31415106,#523450
49,0.19215686,0.32540436,0.20634889,0.31734750,#533551
50,0.19607843,0.32973505,0.20824706,0.32054940,#543552
51,0.20000000,0.33407337,0.21014606,0.32375675,#553653
52,0.20392157,0.33841931,0.21204590,0.32696951,#563653
53,0.20784314,0.34277285,0.21394658,0.33018766,#573754
54,0.21176471,0.34713397,0.21584810,0.33341117,#593755
55,0.21568627,0.35150265,0.21775048,0.33664002,#5a3856
56,0.21960784,0.35587888,0.21965372,0.33987417,#5b3857
57,0.22352941,0.35446240,0.22390044,0.34943281,#5a3959
58,0.22745098,0.35234066,0.22833671,0.35969985,#5a3a5c
59,0.23137255,0.35015313,0.23270172,0.36997506,#593b5e
60,0.23529412,0.34789825,0.23699854,0.38026014,#593c61
61,0.23921569,0.34557439,0.24122995,0.39055661,#583e64
62,0.24313725,0.34317983,0.24539855,0.40086582,#583f66
63,0.24705882,0.34071272,0.24950670,0.41118895,#574069
64,0.25098039,0.33817113,0.25355659,0.42152709,#56416b
65,0.25490196,0.33555298,0.25755023,0.43188119,#56426e
66,0.25882353,0.33285608,0.26148949,0.44225211,#554371
67,0.26274510,0.33007811,0.26537610,0.45264060,#544473
68,0.26666667,0.32721656,0.26921169,0.46304736,#534576
69,0.27058824,0.32426879,0.27299773,0.47347298,#534679
70,0.27450980,0.32123196,0.27673564,0.48391802,#52477b
71,0.27843137,0.31810304,0.28042671,0.49438297,#51487e
72,0.28235294,0.31487878,0.28407216,0.50486825,#504881
73,0.28627451,0.31155568,0.28767313,0.51537425,#4f4983
74,0.29019608,0.30813000,0.29123068,0.52590132,#4f4a86
75,0.29411765,0.30459768,0.29474583,0.53644977,#4e4b89
76,0.29803922,0.30095435,0.29821950,0.54701985,#4d4c8b
77,0.30196078,0.29719529,0.30165259,0.55761181,#4c4d8e
78,0.30588235,0.29331537,0.30504592,0.56822587,#4b4e91
79,0.30980392,0.28930900,0.30840027,0.57886220,#4a4f94
80,0.31372549,0.28517008,0.31171639,0.58952096,#494f96
81,0.31764706,0.28089197,0.31499496,0.60020229,#485099
82,0.32156863,0.27646735,0.31823665,0.61090631,#46519c
83,0.32549020,0.27188817,0.32144207,0.62163312,#45529f
84,0.32941176,0.26714552,0.32461181,0.63238281,#4453a1
85,0.33333333,0.26222954,0.32774642,0.64315543,#4354a4
86,0.33725490,0.25712919,0.33084642,0.65395106,#4254a7
87,0.34117647,0.25183216,0.33391231,0.66476972,#4055aa
88,0.34509804,0.24632455,0.33694457,0.67561146,#3f56ac
89,0.34901961,0.24059063,0.33994362,0.68647629,#3d57af
90,0.35294118,0.23461248,0.34290990,0.69736423,#3c57b2
91,0.35686275,0.22836950,0.34584380,0.70827527,#3a58b5
92,0.36078431,0.22183791,0.34874570,0.71920942,#3959b7
93,0.36470588,0.21498989,0.35161596,0.73016665,#375aba
94,0.36862745,0.20779269,0.35445491,0.74114696,#355abd
95,0.37254902,0.20020722,0.35726289,0.75215030,#335bc0
96,0.37647059,0.19218627,0.36004019,0.76317666,#315cc3
97,0.38039216,0.18367188,0.36278710,0.77422600,#2f5dc5
98,0.38431373,0.17459167,0.36550391,0.78529827,#2d5dc8
99,0.38823529,0.16485327,0.36819086,0.79639343,#2a5ecb
100,0.39215686,0.15433562,0.37084821,0.80751143,#275fce
101,0.39607843,0.14287495,0.37347618,0.81865221,#245fd1
102,0.40000000,0.13024027,0.37607501,0.82981573,#2160d4
103,0.40392157,0.11608752,0.37864489,0.84100192,#1e61d6
104,0.40784314,0.09986382,0.38118603,0.85221071,#1961d9
105,0.41176471,0.08057403,0.38369862,0.86344205,#1562dc
106,0.41568627,0.05604984,0.38618282,0.87469587,#0e62df
107,0.41960784,0.02202215,0.38863881,0.88597210,#0663e2
108,0.42352941,0.00000000,0.39251617,0.89207365,#0064e3
109,0.42745098,0.00000000,0.39839930,0.89064364,#0066e3
110,0.43137255,0.00000000,0.40424794,0.88916613,#0067e3
111,0.43529412,0.00000000,0.41036189,0.88686186,#0069e2
112,0.43921569,0.00000000,0.41640911,0.88457108,#006ae2
113,0.44313725,0.00000000,0.42239682,0.88228298,#006ce1
114,0.44705882,0.00000000,0.42833139,0.87998759,#006de0
115,0.45098039,0.00000000,0.43421845,0.87767573,#006fe0
116,0.45490196,0.00000000,0.44006303,0.87533878,#0070df
117,0.45882353,0.00000000,0.44586962,0.87296866,#0072df
118,0.46274510,0.00000000,0.45164224,0.87055769,#0073de
119,0.46666667,0.00473079,0.45754677,0.86704119,#0175dd
120,0.47058824,0.01816746,0.46365218,0.86169210,#0576dc
121,0.47450980,0.03256549,0.46966419,0.85631820,#0878da
122,0.47843137,0.04744457,0.47558678,0.85091885,#0c79d9
123,0.48235294,0.06076583,0.48142365,0.84549339,#0f7bd8
124,0.48627451,0.07287119,0.48717828,0.84004112,#137cd6
125,0.49019608,0.08413021,0.49285391,0.83456135,#157ed5
126,0.49411765,0.09476363,0.49845358,0.82905332,#187fd3
127,0.49803922,0.10491469,0.50398016,0.82351629,#1b81d2
128,0.50196078,0.11468201,0.50943633,0.81794947,#1d82d1
129,0.50588235,0.12413652,0.51482463,0.81235204,#2083cf
130,0.50980392,0.13333108,0.52014745,0.80672315,#2285ce
131,0.51372549,0.14230614,0.52540703,0.80106194,#2486cc
132,0.51764706,0.15109342,0.53060552,0.79536749,#2787cb
133,0.52156863,0.15971824,0.53574492,0.78963886,#2989c9
134,0.52549020,0.16820114,0.54082716,0.78387508,#2b8ac8
135,0.52941176,0.17655905,0.54585406,0.77807512,#2d8bc6
136,0.53333333,0.18480607,0.55082732,0.77223792,#2f8cc5
137,0.53725490,0.19295408,0.55574860,0.76636240,#318ec3
138,0.54117647,0.20101317,0.56061945,0.76044740,#338fc2
139,0.54509804,0.20899201,0.56544136,0.75449174,#3590c0
140,0.54901961,0.21689809,0.57021575,0.74849416,#3791bf
141,0.55294118,0.22473795,0.57494396,0.74245339,#3993bd
142,0.55686275,0.23251727,0.57962728,0.73636806,#3b94bc
143,0.56078431,0.24024111,0.58426696,0.73023677,#3d95ba
144,0.56470588,0.24791393,0.58886416,0.72405804,#3f96b9
145,0.56862745,0.25553968,0.59342002,0.71783033,#4197b7
146,0.57254902,0.26312192,0.59793562,0.71155203,#4398b5
147,0.57647059,0.27066383,0.60241199,0.70522144,#459ab4
148,0.58039216,0.27816830,0.60685014,0.69883681,#479bb2
149,0.58431373,0.28563792,0.61125101,0.69239626,#499cb1
150,0.58823529,0.29307504,0.61561552,0.68589785,#4b9daf
151,0.59215686,0.30048183,0.61994455,0.67933952,#4d9ead
152,0.59607843,0.30786023,0.62423895,0.67271912,#4f9fac
153,0.60000000,0.31521206,0.62849953,0.66603437,#50a0aa
154,0.60392157,0.32253896,0.63272708,0.65928288,#52a1a8
155,0.60784314,0.32984246,0.63692236,0.65246211,#54a2a6
156,0.61176471,0.33712395,0.64108608,0.64556939,#56a3a5
157,0.61568627,0.34438473,0.64521896,0.63860189,#58a5a3
158,0.61960784,0.35162602,0.64932167,0.63155662,#5aa6a1
159,0.62352941,0.35884892,0.65339487,0.62443038,#5ca79f
160,0.62745098,0.36605447,0.65743918,0.61721981,#5da89d
161,0.63137255,0.37324365,0.66145522,0.60992131,#5fa99c
162,0.63529412,0.38041736,0.66544357,0.60253105,#61aa9a
163,0.63921569,0.38757645,0.66940481,0.59504494,#63ab98
164,0.64313725,0.40361561,0.67168296,0.58601892,#67ab95
165,0.64705882,0.42135083,0.67349210,0.57650376,#6bac93
166,0.65098039,0.43857220,0.67524343,0.56684909,#70ac91
167,0.65490196,0.45534226,0.67693717,0.55704642,#74ad8e
168,0.65882353,0.47171283,0.67857352,0.54708650,#78ad8c
169,0.66274510,0.48772736,0.68015268,0.53695917,#7cad89
170,0.66666667,0.50342265,0.68167481,0.52665326,#80ae86
171,0.67058824,0.51883017,0.68314004,0.51615642,#84ae84
172,0.67450980,0.53397708,0.68454851,0.50545496,#88af81
173,0.67843137,0.54888696,0.68590033,0.49453364,#8caf7e
174,0.68235294,0.56358043,0.68719558,0.48337543,#90af7b
175,0.68627451,0.57807565,0.68843433,0.47196115,#93b078
176,0.69019608,0.59238867,0.68961664,0.46026915,#97b075
177,0.69411765,0.60653377,0.69074254,0.44827480,#9bb072
178,0.69803922,0.62052370,0.69181204,0.43594992,#9eb06f
179,0.70196078,0.63436992,0.69282515,0.42326201,#a2b16c
180,0.70588235,0.64808271,0.69378184,0.41017326,#a5b169
181,0.70980392,0.66167141,0.69468208,0.39663934,#a9b165
182,0.71372549,0.67514445,0.69552582,0.38260767,#acb162
183,0.71764706,0.68850952,0.69631299,0.36801513,#b0b25e
