index,x,r,g,b,hex
0,0.00000000,0.07601507,0.11861789,0.21525697,#131e37
1,0.00392157,0.07734151,0.12118186,0.21938695,#141f38
2,0.00784314,0.07866756,0.12375305,0.22352935,#142039
3,0.01176471,0.07999324,0.12633142,0.22768405,#14203a
4,0.01568627,0.08131857,0.12891691,0.23185094,#15213b
5,0.01960784,0.08264356,0.13150945,0.23602991,#15223c
6,0.02352941,0.08396824,0.13410900,0.24022087,#15223d
7,0.02745098,0.08529263,0.13671550,0.24442371,#16233e
8,0.03137255,0.08661674,0.13932890,0.24863833,#16243f
9,0.03529412,0.08794058,0.14194914,0.25286464,#162440
10,0.03921569,0.08926419,0.14457618,0.25710254,#172542
11,0.04313725,0.09058757,0.14720996,0.26135193,#172643
12,0.04705882,0.09191073,0.14985043,0.26561272,#172644
13,0.05098039,0.09323370,0.15249754,0.26988483,#182745
14,0.05490196,0.09455649,0.15515126,0.27416816,#182846
15,0.05882353,0.09587912,0.15781152,0.27846263,#182847
16,0.06274510,0.09720159,0.16047828,0.28276815,#192948
17,0.06666667,0.09852393,0.16315150,0.28708464,#192a49
18,0.07058824,0.09984614,0.16583113,0.29141201,#192a4a
19,0.07450980,0.10116824,0.16851713,0.29575018,#1a2b4b
20,0.07843137,0.10249025,0.17120945,0.30009908,#1a2c4d
21,0.08235294,0.10381217,0.17390805,0.30445862,#1a2c4e
22,0.08627451,0.10513401,0.17661289,0.30882873,#1b2d4f
23,0.09019608,0.10645580,0.17932392,0.31320933,#1b2e50
24,0.09411765,0.10777754,0.18204111,0.31760034,#1b2e51
25,0.09803922,0.10909924,0.18476441,0.32200170,#1c2f52
26,0.10196078,0.11042091,0.18749379,0.32641334,#1c3053
27,0.10588235,0.11174258,0.19022920,0.33083517,#1c3154
28,0.10980392,0.11306423,0.19297060,0.33526713,#1d3155
29,0.11372549,0.11438590,0.19571797,0.33970916,#1d3257
30,0.11764706,0.11570757,0.19847125,0.34416118,#1e3358
31,0.12156863,0.11702928,0.20123041,0.34862312,#1e3359
32,0.12549020,0.11835102,0.20399542,0.35309493,#1e345a
33,0.12941176,0.11967281,0.20676625,0.35757654,#1f355b
34,0.13333333,0.12099466,0.20954284,0.36206788,#1f355c
35,0.13725490,0.12231657,0.21232518,0.36656889,#1f365d
36,0.14117647,0.12363855,0.21511322,0.37107950,#20375f
37,0.14509804,0.12496061,0.21790693,0.37559967,#203860
38,0.14901961,0.12628277,0.22070627,0.38012933,#203861
39,0.15294118,0.12760502,0.22351122,0.38466841,#213962
40,0.15686275,0.12892738,0.22632175,0.38921686,#213a63
41,0.16078431,0.13024985,0.22913781,0.39377463,#213a64
42,0.16470588,0.13157245,0.23195937,0.39834166,#223b66
43,0.16862745,0.13289518,0.23478641,0.40291788,#223c67
44,0.17254902,0.13421805,0.23761890,0.40750325,#223d68
45,0.17647059,0.13554106,0.24045680,0.41209771,#233d69
46,0.18039216,0.13686423,0.24330008,0.41670121,#233e6a
47,0.18431373,0.13818755,0.24614871,0.42131370,#233f6b
48,0.18823529,0.13951104,0.24900267,0.42593512,#243f6d
49,0.19215686,0.14083470,0.25186192,0.43056542,#24406e
50,0.19607843,0.14215855,0.25472644,0.43520455,#24416f
51,0.20000000,0.14348257,0.25759619,0.43985246,#254270
52,0.20392157,0.14480680,0.26047116,0.44450911,#254271
53,0.20784314,0.14613122,0.26335130,0.44917443,#254373
54,0.21176471,0.14745584,0.26623660,0.45384840,#264474
55,0.21568627,0.14878068,0.26912702,0.45853094,#264575
56,0.21960784,0.15010573,0.27202255,0.46322203,#264576
