# Oritone scientific colormap: Oritone Balance
# MIT licensed. Color direction references the Okabe & Ito color-blind-friendly palette.
# index R G B hex
000  44  85 108 #2c556c
001  44  86 110 #2c566e
002  44  87 111 #2c576f
003  44  88 113 #2c5871
004  44  90 114 #2c5a72
005  44  91 116 #2c5b74
006  44  92 117 #2c5c75
007  44  93 119 #2c5d77
008  44  94 120 #2c5e78
009  44  95 122 #2c5f7a
010  44  97 124 #2c617c
011  44  98 125 #2c627d
012  44  99 127 #2c637f
013  44 100 128 #2c6480
014  44 101 130 #2c6582
015  44 102 131 #2c6683
016  44 104 133 #2c6885
017  43 105 135 #2b6987
018  43 106 136 #2b6a88
019  43 107 138 #2b6b8a
020  43 108 139 #2b6c8b
021  43 109 141 #2b6d8d
022  43 111 143 #2b6f8f
023  43 112 144 #2b7090
024  43 113 146 #2b7192
025  42 114 148 #2a7294
026  42 115 149 #2a7395
027  42 117 151 #2a7597
028  42 118 152 #2a7698
029  42 119 154 #2a779a
030  42 120 156 #2a789c
031  41 122 157 #297a9d
032  41 123 159 #297b9f
033  41 124 161 #297ca1
034  41 125 162 #297da2
035  40 126 164 #287ea4
036  40 128 166 #2880a6
037  40 129 167 #2881a7
038  39 130 169 #2782a9
039  39 131 171 #2783ab
040  39 133 172 #2785ac
041  38 134 174 #2686ae
042  38 135 176 #2687b0
043  37 136 178 #2588b2
044  37 138 179 #258ab3
045  37 139 181 #258bb5
046  36 140 183 #248cb7
047  38 141 184 #268db8
048  39 143 185 #278fb9
049  41 144 187 #2990bb
050  42 145 188 #2a91bc
051  44 146 189 #2c92bd
052  45 147 190 #2d93be
053  47 149 192 #2f95c0
054  48 150 193 #3096c1
055  50 151 194 #3297c2
056  51 152 196 #3398c4
057  53 153 197 #3599c5
058  54 155 198 #369bc6
059  55 156 200 #379cc8
060  57 157 201 #399dc9
061  58 158 202 #3a9eca
062  59 160 204 #3ba0cc
063  61 161 205 #3da1cd
064  62 162 206 #3ea2ce
065  64 163 208 #40a3d0
066  65 164 209 #41a4d1
067  66 166 210 #42a6d2
068  68 167 212 #44a7d4
069  69 168 213 #45a8d5
070  70 169 214 #46a9d6
071  72 171 216 #48abd8
072  73 172 217 #49acd9
073  74 173 218 #4aadda
074  76 174 220 #4caedc
075  77 176 221 #4db0dd
076  78 177 222 #4eb1de
077  79 178 224 #4fb2e0
078  81 180 225 #51b4e1
079  82 181 227 #52b5e3
080  83 182 228 #53b6e4
081  85 183 229 #55b7e5
082  86 185 231 #56b9e7
083  87 186 232 #57bae8
084  89 187 233 #59bbe9
085  90 189 235 #5abdeb
086  91 190 236 #5bbeec
