# Oritone scientific colormap: Oritone Canopy
# MIT licensed. Color direction references the Okabe & Ito color-blind-friendly palette.
# index R G B hex
000  26  33  33 #1a2121
001  26  33  34 #1a2122
002  26  34  35 #1a2223
003  26  35  36 #1a2324
004  27  36  37 #1b2425
005  27  36  39 #1b2427
006  27  37  40 #1b2528
007  27  38  41 #1b2629
008  28  39  42 #1c272a
009  28  39  43 #1c272b
010  28  40  44 #1c282c
011  28  41  45 #1c292d
012  29  41  46 #1d292e
013  29  42  47 #1d2a2f
014  29  43  48 #1d2b30
015  29  44  49 #1d2c31
016  30  44  50 #1e2c32
017  30  45  51 #1e2d33
018  30  46  52 #1e2e34
019  30  47  53 #1e2f35
020  31  47  55 #1f2f37
021  31  48  56 #1f3038
022  31  49  57 #1f3139
023  31  50  58 #1f323a
024  31  50  59 #1f323b
025  32  51  60 #20333c
026  32  52  61 #20343d
027  32  53  62 #20353e
028  32  53  63 #20353f
029  32  54  64 #203640
030  33  55  66 #213742
031  33  56  67 #213843
032  33  56  68 #213844
033  33  57  69 #213945
034  33  58  70 #213a46
035  34  59  71 #223b47
036  34  59  72 #223b48
037  34  60  74 #223c4a
038  34  61  75 #223d4b
039  34  62  76 #223e4c
040  35  62  77 #233e4d
041  35  63  78 #233f4e
042  35  64  79 #23404f
043  35  65  80 #234150
044  35  65  82 #234152
045  35  66  83 #234253
046  36  67  84 #244354
047  36  68  85 #244455
048  36  69  86 #244556
049  36  69  87 #244557
050  36  70  89 #244659
051  36  71  90 #24475a
052  37  72  91 #25485b
053  37  72  92 #25485c
054  37  73  93 #25495d
055  37  74  94 #254a5e
056  37  75  96 #254b60
057  37  76  96 #254c60
058  38  77  96 #264d60
059  38  77  97 #264d61
060  39  78  97 #274e61
061  39  79  98 #274f62
062  39  80  98 #275062
063  40  81  98 #285162
064  40  82  99 #285263
065  40  83  99 #285363
066  41  84  99 #295463
067  41  85 100 #295564
068  42  86 100 #2a5664
069  42  87 100 #2a5764
070  42  87 101 #2a5765
071  43  88 101 #2b5865
072  43  89 101 #2b5965
073  43  90 102 #2b5a66
074  44  91 102 #2c5b66
075  44  92 103 #2c5c67
076  45  93 103 #2d5d67
077  45  94 103 #2d5e67
078  45  95 104 #2d5f68
079  46  96 104 #2e6068
080  46  97 104 #2e6168
081  47  98 105 #2f6269
082  47  98 105 #2f6269
083  47  99 105 #2f6369
084  48 100 106 #30646a
085  48 101 106 #30656a
086  49 102 106 #31666a
087  49 103 107 #31676b
088  49 104 107 #31686b
089  50 105 107 #32696b
090  50 106 108 #326a6c
091  51 107 108 #336b6c
092  51 108 108 #336c6c
093  52 109 109 #346d6d
094  52 110 109 #346e6d
095  52 110 109 #346e6d
096  53 111 110 #356f6e
097  53 112 110 #35706e
098  54 113 110 #36716e
099  54 114 111 #36726f
100  54 115 111 #36736f
101  55 116 111 #37746f
102  55 117 112 #377570
103  56 118 112 #387670
104  56 119 112 #387770
105  57 120 113 #397871
106  57 121 113 #397971
107  57 122 113 #397a71
108  58 123 113 #3a7b71
109  58 124 114 #3a7c72
110  59 125 114 #3b7d72
111  59 126 114 #3b7e72
112  60 126 115 #3c7e73
113  60 127 115 #3c7f73
114  60 128 115 #3c8073
115  61 129 116 #3d8174
116  61 130 116 #3d8274
117  62 131 116 #3e8374
118  62 132 117 #3e8475
119  63 133 117 #3f8575
120  63 134 117 #3f8675
121  64 135 117 #408775
122  64 136 118 #408876
123  65 137 118 #418976
124  65 138 119 #418a77
125  66 139 120 #428b78
126  67 139 121 #438b79
127  68 140 122 #448c7a
128  68 141 122 #448d7a
129  69 142 123 #458e7b
130  70 143 124 #468f7c
131  71 144 125 #47907d
132  71 145 126 #47917e
133  72 145 126 #48917e
134  73 146 127 #49927f
135  74 147 128 #4a9380
136  74 148 129 #4a9481
137  75 149 130 #4b9582
138  76 150 130 #4c9682
139  76 151 131 #4c9783
140  77 151 132 #4d9784
141  78 152 133 #4e9885
142  79 153 134 #4f9986
143  79 154 134 #4f9a86
144  80 155 135 #509b87
145  81 156 136 #519c88
146  82 157 137 #529d89
147  82 158 138 #529e8a
148  83 158 138 #539e8a
149  84 159 139 #549f8b
150  85 160 140 #55a08c
151  85 161 141 #55a18d
152  86 162 142 #56a28e
153  87 163 142 #57a38e
154  88 164 143 #58a48f
155  88 165 144 #58a590
156  89 165 145 #59a591
157  90 166 146 #5aa692
158  91 167 147 #5ba793
159  91 168 147 #5ba893
160  92 169 148 #5ca994
161  93 170 149 #5daa95
162  94 171 150 #5eab96
163  94 172 151 #5eac97
164  95 173 152 #5fad98
165  96 173 152 #60ad98
166  97 174 153 #61ae99
167  97 175 154 #61af9a
168  98 176 155 #62b09b
169  99 177 156 #63b19c
170 100 178 157 #64b29d
171 100 179 157 #64b39d
172 101 180 158 #65b49e
173 102 181 159 #66b59f
174 103 181 160 #67b5a0
175 103 182 161 #67b6a1
176 104 183 162 #68b7a2
177 105 184 162 #69b8a2
178 106 185 163 #6ab9a3
179 108 186 162 #6cbaa2
180 113 186 160 #71baa0
181 117 187 158 #75bb9e
182 121 187 155 #79bb9b
183 125 188 152 #7dbc98
184 129 189 150 #81bd96
185 133 189 147 #85bd93
186 136 189 145 #88bd91
187 140 190 142 #8cbe8e
188 144 190 139 #90be8b
189 147 191 136 #93bf88
190 151 191 133 #97bf85
191 154 192 131 #9ac083
192 158 192 128 #9ec080
193 161 193 124 #a1c17c
194 165 193 121 #a5c179
195 168 193 118 #a8c176
196 171 194 115 #abc273
