# Oritone scientific colormap: Oritone Delta
# MIT licensed. Color direction references the Okabe & Ito color-blind-friendly palette.
# index R G B hex
000  37  81 146 #255192
001  37  82 149 #255295
002  37  83 151 #255397
003  36  84 154 #24549a
004  36  85 157 #24559d
005  35  85 159 #23559f
006  35  86 162 #2356a2
007  35  87 165 #2357a5
008  34  88 167 #2258a7
009  34  89 170 #2259aa
010  33  90 173 #215aad
011  32  91 175 #205baf
012  32  91 178 #205bb2
013  31  92 181 #1f5cb5
014  31  93 184 #1f5db8
015  30  94 186 #1e5eba
016  29  95 189 #1d5fbd
017  29  96 192 #1d60c0
018  28  97 195 #1c61c3
019  27  97 197 #1b61c5
020  26  98 200 #1a62c8
021  25  99 203 #1963cb
022  24 100 206 #1864ce
023  23 101 209 #1765d1
024  22 102 211 #1666d3
025  21 103 214 #1567d6
026  20 103 217 #1467d9
027  19 104 220 #1368dc
028  17 105 223 #1169df
029  16 106 226 #106ae2
030  14 107 228 #0e6be4
031  12 108 231 #0c6ce7
032  10 108 234 #0a6cea
033   7 109 237 #076ded
034   5 110 240 #056ef0
035   3 111 243 #036ff3
036   0 112 246 #0070f6
037   0 113 248 #0071f8
038   0 114 250 #0072fa
039   0 115 252 #0073fc
040   0 116 255 #0074ff
041   6 117 255 #0675ff
042  14 119 255 #0e77ff
043  20 121 255 #1479ff
044  25 122 255 #197aff
045  29 124 255 #1d7cff
046  33 125 255 #217dff
047  36 127 255 #247fff
048  39 128 255 #2780ff
049  42 130 255 #2a82ff
050  45 132 255 #2d84ff
051  47 133 255 #2f85ff
052  50 135 255 #3287ff
053  52 136 255 #3488ff
054  55 138 255 #378aff
055  57 139 255 #398bff
056  60 141 255 #3c8dff
057  62 142 255 #3e8eff
058  64 144 255 #4090ff
059  67 145 255 #4391ff
060  69 147 255 #4593ff
061  71 148 255 #4794ff
062  74 150 255 #4a96ff
063  76 151 255 #4c97ff
064  78 153 255 #4e99ff
065  80 154 255 #509aff
066  83 155 255 #539bff
067  85 157 255 #559dff
068  87 158 255 #579eff
069  89 160 255 #59a0ff
070  91 161 255 #5ba1ff
071  94 163 255 #5ea3ff
072  96 164 255 #60a4ff
073  98 165 255 #62a5ff
074 100 167 255 #64a7ff
075 102 168 255 #66a8ff
076 104 170 255 #68aaff
077 107 171 255 #6babff
078 109 172 255 #6dacff
079 111 174 255 #6faeff
080 113 175 255 #71afff
081 115 177 255 #73b1ff
082 118 178 255 #76b2ff
083 120 179 255 #78b3ff
084 122 181 255 #7ab5ff
085 124 182 255 #7cb6ff
086 126 184 255 #7eb8ff
087 128 185 255 #80b9ff
088 131 186 255 #83baff
089 133 188 255 #85bcff
090 135 189 255 #87bdff
091 137 190 255 #89beff
092 139 192 255 #8bc0ff
093 142 193 255 #8ec1ff
094 144 194 255 #90c2ff
095 146 196 255 #92c4ff
096 149 197 255 #95c5ff
097 151 198 255 #97c6ff
098 153 200 255 #99c8ff
099 156 201 255 #9cc9ff
100 158 202 255 #9ecaff
101 160 204 255 #a0ccff
102 163 205 255 #a3cdff
103 165 206 255 #a5ceff
104 167 208 255 #a7d0ff
105 170 209 255 #aad1ff
106 172 211 255 #acd3ff
107 174 212 255 #aed4ff
108 177 213 255 #b1d5ff
109 179 215 255 #b3d7ff
110 181 216 255 #b5d8ff
111 184 217 255 #b8d9ff
112 186 219 255 #badbff
113 188 220 255 #bcdcff
114 190 222 255 #bedeff
115 194 223 253 #c2dffd
116 198 224 251 #c6e0fb
117 202 225 248 #cae1f8
118 206 227 246 #cee3f6
119 210 228 243 #d2e4f3
120 214 229 241 #d6e5f1
121 218 230 239 #dae6ef
122 222 232 236 #dee8ec
123 226 233 234 #e2e9ea
124 230 234 231 #e6eae7
125 235 235 229 #ebebe5
126 239 237 226 #efede2
127 243 238 224 #f3eee0
128 247 240 221 #f7f0dd
129 247 238 215 #f7eed7
130 246 236 208 #f6ecd0
131 246 234 202 #f6eaca
132 246 232 195 #f6e8c3
133 246 231 189 #f6e7bd
134 246 229 182 #f6e5b6
135 246 227 176 #f6e3b0
136 246 226 169 #f6e2a9
137 246 224 162 #f6e0a2
138 245 223 155 #f5df9b
139 245 221 148 #f5dd94
140 245 219 141 #f5db8d
141 245 218 134 #f5da86
142 245 216 126 #f5d87e
143 245 214 118 #f5d676
144 245 213 110 #f5d56e
145 245 211 102 #f5d366
146 245 209  93 #f5d15d
147 245 207  83 #f5cf53
148 245 206  72 #f5ce48
149 245 204  59 #f5cc3b
150 245 202  43 #f5ca2b
151 245 200  16 #f5c810
152 244 199   0 #f4c700
153 243 198   0 #f3c600
154 241 196   0 #f1c400
155 239 195   0 #efc300
156 238 194   0 #eec200
157 236 192   0 #ecc000
158 234 191   0 #eabf00
159 233 190   0 #e9be00
160 231 189   0 #e7bd00
161 230 187   0 #e6bb00
162 228 186   0 #e4ba00
