# Oritone scientific colormap: Oritone Ember
# MIT licensed. Color direction references the Okabe & Ito color-blind-friendly palette.
# index R G B hex
000  37  29  16 #251d10
001  39  29  15 #271d0f
002  40  29  14 #281d0e
003  42  30  13 #2a1e0d
004  43  30  11 #2b1e0b
005  45  30  10 #2d1e0a
006  46  31   9 #2e1f09
007  48  31   7 #301f07
008  49  31   6 #311f06
009  51  32   4 #332004
010  52  32   2 #342002
011  54  32   1 #362001
012  55  33   0 #372100
013  56  33   0 #382100
014  57  34   0 #392200
015  58  34   0 #3a2200
016  59  35   0 #3b2300
017  60  36   0 #3c2400
018  61  36   0 #3d2400
019  62  37   0 #3e2500
020  62  37   0 #3e2500
021  63  38   0 #3f2600
022  64  39   0 #402700
023  65  39   0 #412700
024  66  40   0 #422800
025  67  40   0 #432800
026  68  41   0 #442900
027  69  42   0 #452a00
028  70  42   0 #462a00
029  71  43   0 #472b00
030  72  43   0 #482b00
031  73  44   0 #492c00
032  74  45   0 #4a2d00
033  75  45   0 #4b2d00
034  76  46   0 #4c2e00
035  77  47   0 #4d2f00
036  78  47   0 #4e2f00
037  79  48   0 #4f3000
038  80  48   0 #503000
039  81  49   0 #513100
040  82  50   0 #523200
041  83  50   0 #533200
042  84  51   0 #543300
043  85  52   0 #553400
044  86  52   0 #563400
045  87  53   0 #573500
046  88  54   0 #583600
047  89  54   0 #593600
048  90  55   0 #5a3700
049  91  56   0 #5b3800
050  92  56   0 #5c3800
051  93  57   0 #5d3900
052  94  57   0 #5e3900
053  95  58   0 #5f3a00
054  96  59   0 #603b00
055  97  59   0 #613b00
056  98  60   0 #623c00
057  99  61   0 #633d00
058 100  61   0 #643d00
059 101  62   0 #653e00
060 102  63   0 #663f00
061 103  63   0 #673f00
062 104  64   0 #684000
063 105  65   0 #694100
064 106  65   0 #6a4100
065 107  66   0 #6b4200
066 108  67   0 #6c4300
067 109  67   0 #6d4300
068 110  68   0 #6e4400
069 111  69   0 #6f4500
070 112  69   0 #704500
071 113  70   0 #714600
072 114  71   0 #724700
073 115  71   0 #734700
074 116  72   0 #744800
075 117  73   0 #754900
076 118  73   0 #764900
077 119  74   0 #774a00
078 120  75   0 #784b00
079 121  75   0 #794b00
080 123  76   0 #7b4c00
081 124  77   0 #7c4d00
082 125  77   0 #7d4d00
083 126  78   0 #7e4e00
084 127  79   0 #7f4f00
085 128  80   0 #805000
086 129  80   0 #815000
087 130  81   0 #825100
088 131  82   0 #835200
089 132  82   0 #845200
090 133  83   0 #855300
091 134  84   0 #865400
092 135  84   0 #875400
093 136  85   0 #885500
094 137  86   0 #895600
095 138  86   0 #8a5600
096 140  87   0 #8c5700
097 141  88   0 #8d5800
098 142  89   0 #8e5900
099 143  89   0 #8f5900
100 144  90   0 #905a00
101 145  91   0 #915b00
102 146  91   0 #925b00
103 147  92   0 #935c00
104 148  93   0 #945d00
105 149  93   0 #955d00
106 150  94   0 #965e00
107 151  95   0 #975f00
108 153  96   0 #996000
109 154  96   0 #9a6000
110 155  97   0 #9b6100
111 156  98   0 #9c6200
112 157  98   0 #9d6200
113 158  99   0 #9e6300
114 159 100   0 #9f6400
115 160 101   0 #a06500
116 161 101   0 #a16500
117 163 102   0 #a36600
118 164 103   0 #a46700
119 165 103   0 #a56700
120 166 104   0 #a66800
121 167 105   0 #a76900
122 168 106   0 #a86a00
123 169 106   0 #a96a00
124 170 107   0 #aa6b00
125 171 108   0 #ab6c00
126 173 108   0 #ad6c00
127 174 109   0 #ae6d00
128 175 110   0 #af6e00
129 176 111   0 #b06f00
130 177 111   0 #b16f00
131 178 112   0 #b27000
132 179 113   0 #b37100
133 180 114   0 #b47200
134 181 115   0 #b57300
135 182 116   0 #b67400
136 183 117   0 #b77500
137 183 118   0 #b77600
138 184 119   0 #b87700
139 185 120   0 #b97800
140 186 121   0 #ba7900
141 186 121   0 #ba7900
142 187 122   0 #bb7a00
143 188 123   0 #bc7b00
144 189 125   0 #bd7d00
145 189 126   0 #bd7e00
146 190 127   0 #be7f00
147 191 128   0 #bf8000
148 191 129   0 #bf8100
149 192 130   0 #c08200
150 193 131   0 #c18300
151 194 132   0 #c28400
152 194 133   0 #c28500
153 195 134   0 #c38600
154 196 135   0 #c48700
155 196 136   0 #c48800
156 197 137   0 #c58900
157 198 138   0 #c68a00
158 198 139   0 #c68b00
159 199 140   0 #c78c00
160 200 141   0 #c88d00
161 200 142   0 #c88e00
162 201 143   0 #c98f00
163 202 144   0 #ca9000
164 202 145   0 #ca9100
