# Oritone scientific colormap: Oritone Fusion
# MIT licensed. Color direction references the Okabe & Ito color-blind-friendly palette.
# index R G B hex
000  31  29  43 #1f1d2b
001  32  30  44 #201e2c
002  33  30  44 #211e2c
003  34  31  45 #221f2d
004  35  31  46 #231f2e
005  36  31  46 #241f2e
006  37  32  47 #25202f
007  38  32  48 #262030
008  39  33  49 #272131
009  40  33  49 #282131
010  41  34  50 #292232
011  42  34  51 #2a2233
012  43  35  52 #2b2334
013  45  35  53 #2d2335
014  46  36  53 #2e2435
015  47  36  54 #2f2436
016  48  37  55 #302537
017  49  37  56 #312538
018  50  38  56 #322638
019  51  38  57 #332639
020  52  39  58 #34273a
021  53  39  59 #35273b
022  54  40  59 #36283b
023  55  40  60 #37283c
024  56  41  61 #38293d
025  57  41  62 #39293e
026  58  42  63 #3a2a3f
027  59  42  63 #3b2a3f
028  60  42  64 #3c2a40
029  61  43  65 #3d2b41
030  62  43  66 #3e2b42
031  63  44  66 #3f2c42
032  65  44  67 #412c43
033  66  45  68 #422d44
034  67  45  69 #432d45
035  68  46  70 #442e46
036  69  46  70 #452e46
037  70  47  71 #462f47
038  71  47  72 #472f48
039  72  48  73 #483049
040  73  48  74 #49304a
041  74  49  74 #4a314a
042  75  49  75 #4b314b
043  76  50  76 #4c324c
044  77  50  77 #4d324d
045  79  51  78 #4f334e
046  80  51  78 #50334e
047  81  52  79 #51344f
048  82  52  80 #523450
049  83  53  81 #533551
050  84  53  82 #543552
051  85  54  83 #553653
052  86  54  83 #563653
053  87  55  84 #573754
054  89  55  85 #593755
055  90  56  86 #5a3856
056  91  56  87 #5b3857
057  90  57  89 #5a3959
058  90  58  92 #5a3a5c
059  89  59  94 #593b5e
060  89  60  97 #593c61
061  88  62 100 #583e64
062  88  63 102 #583f66
063  87  64 105 #574069
064  86  65 107 #56416b
065  86  66 110 #56426e
066  85  67 113 #554371
067  84  68 115 #544473
068  83  69 118 #534576
069  83  70 121 #534679
070  82  71 123 #52477b
071  81  72 126 #51487e
072  80  72 129 #504881
073  79  73 131 #4f4983
074  79  74 134 #4f4a86
075  78  75 137 #4e4b89
076  77  76 139 #4d4c8b
077  76  77 142 #4c4d8e
078  75  78 145 #4b4e91
079  74  79 148 #4a4f94
080  73  79 150 #494f96
081  72  80 153 #485099
082  70  81 156 #46519c
083  69  82 159 #45529f
084  68  83 161 #4453a1
085  67  84 164 #4354a4
086  66  84 167 #4254a7
087  64  85 170 #4055aa
088  63  86 172 #3f56ac
089  61  87 175 #3d57af
090  60  87 178 #3c57b2
091  58  88 181 #3a58b5
092  57  89 183 #3959b7
093  55  90 186 #375aba
094  53  90 189 #355abd
095  51  91 192 #335bc0
096  49  92 195 #315cc3
097  47  93 197 #2f5dc5
098  45  93 200 #2d5dc8
099  42  94 203 #2a5ecb
100  39  95 206 #275fce
101  36  95 209 #245fd1
102  33  96 212 #2160d4
103  30  97 214 #1e61d6
104  25  97 217 #1961d9
