# Oritone scientific colormap: Oritone Marine
# MIT licensed. Color direction references the Okabe & Ito color-blind-friendly palette.
# index R G B hex
000  19  30  55 #131e37
001  20  31  56 #141f38
002  20  32  57 #142039
003  20  32  58 #14203a
004  21  33  59 #15213b
005  21  34  60 #15223c
006  21  34  61 #15223d
007  22  35  62 #16233e
008  22  36  63 #16243f
009  22  36  64 #162440
010  23  37  66 #172542
011  23  38  67 #172643
012  23  38  68 #172644
013  24  39  69 #182745
014  24  40  70 #182846
015  24  40  71 #182847
016  25  41  72 #192948
017  25  42  73 #192a49
018  25  42  74 #192a4a
019  26  43  75 #1a2b4b
020  26  44  77 #1a2c4d
021  26  44  78 #1a2c4e
022  27  45  79 #1b2d4f
023  27  46  80 #1b2e50
024  27  46  81 #1b2e51
025  28  47  82 #1c2f52
026  28  48  83 #1c3053
027  28  49  84 #1c3154
028  29  49  85 #1d3155
029  29  50  87 #1d3257
030  30  51  88 #1e3358
031  30  51  89 #1e3359
032  30  52  90 #1e345a
033  31  53  91 #1f355b
034  31  53  92 #1f355c
035  31  54  93 #1f365d
036  32  55  95 #20375f
037  32  56  96 #203860
038  32  56  97 #203861
039  33  57  98 #213962
040  33  58  99 #213a63
041  33  58 100 #213a64
042  34  59 102 #223b66
043  34  60 103 #223c67
044  34  61 104 #223d68
045  35  61 105 #233d69
046  35  62 106 #233e6a
047  35  63 107 #233f6b
048  36  63 109 #243f6d
049  36  64 110 #24406e
050  36  65 111 #24416f
051  37  66 112 #254270
052  37  66 113 #254271
053  37  67 115 #254373
054  38  68 116 #264474
055  38  69 117 #264575
056  38  69 118 #264576
057  39  70 119 #274677
058  39  71 121 #274779
059  39  72 122 #27487a
060  40  72 123 #28487b
061  40  73 124 #28497c
062  40  74 125 #284a7d
063  41  75 127 #294b7f
064  41  75 128 #294b80
065  41  76 129 #294c81
066  42  77 130 #2a4d82
067  42  78 131 #2a4e83
068  42  78 133 #2a4e85
069  43  79 134 #2b4f86
070  43  80 135 #2b5087
071  43  81 136 #2b5188
072  43  81 138 #2b518a
073  44  82 140 #2c528c
074  44  83 141 #2c538d
075  44  83 143 #2c538f
076  44  84 145 #2c5491
077  44  85 146 #2c5592
078  44  85 148 #2c5594
079  44  86 150 #2c5696
080  44  87 152 #2c5798
081  43  88 153 #2b5899
082  43  88 155 #2b589b
083  43  89 157 #2b599d
084  43  90 159 #2b5a9f
085  43  90 160 #2b5aa0
086  43  91 162 #2b5ba2
087  43  92 164 #2b5ca4
088  43  92 166 #2b5ca6
089  43  93 167 #2b5da7
090  43  94 169 #2b5ea9
091  43  94 171 #2b5eab
092  43  95 173 #2b5fad
093  43  96 174 #2b60ae
094  43  97 176 #2b61b0
095  43  97 178 #2b61b2
096  43  98 180 #2b62b4
097  43  99 182 #2b63b6
098  43  99 183 #2b63b7
099  43 100 185 #2b64b9
100  42 101 187 #2a65bb
101  42 101 189 #2a65bd
102  42 102 191 #2a66bf
103  42 103 192 #2a67c0
104  42 103 194 #2a67c2
105  42 104 196 #2a68c4
106  42 105 198 #2a69c6
107  42 106 200 #2a6ac8
108  42 106 201 #2a6ac9
109  41 107 203 #296bcb
110  41 108 205 #296ccd
111  41 108 207 #296ccf
112  41 109 209 #296dd1
113  41 110 211 #296ed3
114  41 110 212 #296ed4
115  41 111 214 #296fd6
116  40 112 216 #2870d8
117  40 112 218 #2870da
118  40 113 220 #2871dc
119  40 114 222 #2872de
120  40 115 224 #2873e0
121  39 115 225 #2773e1
122  39 116 227 #2774e3
123  39 117 229 #2775e5
124  39 117 231 #2775e7
125  39 118 233 #2776e9
126  38 119 235 #2677eb
127  38 119 237 #2677ed
128  38 120 238 #2678ee
129  38 121 240 #2679f0
130  37 121 242 #2579f2
131  37 122 244 #257af4
132  37 123 246 #257bf6
133  36 124 248 #247cf8
134  36 124 250 #247cfa
135  36 125 252 #247dfc
136  36 126 254 #247efe
137  36 126 255 #247eff
138  38 128 255 #2680ff
139  41 129 255 #2981ff
140  43 130 255 #2b82ff
141  44 131 255 #2c83ff
142  45 132 255 #2d84ff
143  46 133 255 #2e85ff
144  47 135 255 #2f87ff
145  48 136 255 #3088ff
146  49 137 255 #3189ff
147  49 138 255 #318aff
148  50 139 255 #328bff
149  51 141 255 #338dff
150  52 142 255 #348eff
151  53 143 255 #358fff
152  54 144 255 #3690ff
153  54 145 255 #3691ff
154  55 147 255 #3793ff
155  56 148 255 #3894ff
156  57 149 255 #3995ff
157  58 150 255 #3a96ff
158  58 151 255 #3a97ff
159  59 152 255 #3b98ff
160  60 154 255 #3c9aff
161  61 155 255 #3d9bff
162  62 156 255 #3e9cff
163  63 157 255 #3f9dff
164  64 158 254 #409efe
165  66 160 254 #42a0fe
166  67 161 254 #43a1fe
167  68 162 253 #44a2fd
168  69 163 253 #45a3fd
169  71 164 252 #47a4fc
170  72 165 252 #48a5fc
171  73 167 252 #49a7fc
172  75 168 251 #4ba8fb
173  76 169 251 #4ca9fb
174  77 170 251 #4daafb
175  79 171 250 #4fabfa
176  80 172 250 #50acfa
177  81 173 250 #51adfa
178  82 174 249 #52aef9
179  84 176 249 #54b0f9
180  85 177 248 #55b1f8
181  86 178 248 #56b2f8
182  88 179 248 #58b3f8
183  89 180 247 #59b4f7
184  90 181 247 #5ab5f7
185  91 182 246 #5bb6f6
186  93 183 246 #5db7f6
187  94 184 246 #5eb8f6
188  95 186 245 #5fbaf5
189  97 187 245 #61bbf5
190  98 188 244 #62bcf4
191  99 189 244 #63bdf4
192 101 190 243 #65bef3
193 102 191 243 #66bff3
194 103 192 242 #67c0f2
195 105 193 242 #69c1f2
196 106 194 242 #6ac2f2
197 107 195 241 #6bc3f1
198 108 196 241 #6cc4f1
199 110 197 240 #6ec5f0
200 112 198 240 #70c6f0
201 115 199 240 #73c7f0
202 118 200 240 #76c8f0
203 120 200 240 #78c8f0
204 122 201 240 #7ac9f0
205 125 202 240 #7dcaf0
206 127 203 240 #7fcbf0
207 130 203 240 #82cbf0
208 132 204 240 #84ccf0
209 134 205 239 #86cdef
210 137 206 239 #89ceef
211 139 206 239 #8bceef
212 141 207 239 #8dcfef
213 144 208 239 #90d0ef
214 146 209 239 #92d1ef
215 148 209 239 #94d1ef
216 150 210 239 #96d2ef
217 152 211 239 #98d3ef
218 155 211 239 #9bd3ef
219 157 212 238 #9dd4ee
220 159 213 238 #9fd5ee
221 161 214 238 #a1d6ee
222 163 214 238 #a3d6ee
223 166 215 238 #a6d7ee
224 168 216 238 #a8d8ee
225 170 216 238 #aad8ee
226 172 217 238 #acd9ee
227 174 218 237 #aedaed
228 176 218 237 #b0daed
229 178 219 237 #b2dbed
230 180 220 237 #b4dced
231 182 221 237 #b6dded
232 184 221 237 #b8dded
233 187 222 237 #bbdeed
234 189 223 236 #bddfec
235 191 223 236 #bfdfec
236 193 224 236 #c1e0ec
237 195 225 236 #c3e1ec
238 197 225 236 #c5e1ec
239 199 226 236 #c7e2ec
240 201 227 236 #c9e3ec
241 203 227 235 #cbe3eb
242 205 228 235 #cde4eb
243 207 229 235 #cfe5eb
244 209 229 235 #d1e5eb
245 211 230 235 #d3e6eb
246 213 231 234 #d5e7ea
247 215 231 234 #d7e7ea
248 217 232 234 #d9e8ea
249 219 233 234 #dbe9ea
250 221 233 234 #dde9ea
251 223 234 234 #dfeaea
252 225 235 233 #e1ebe9
253 227 235 233 #e3ebe9
254 229 236 233 #e5ece9
255 231 237 233 #e7ede9
